Date,Open,High,Low,Close,Volume
23-Feb-17,144.45,144.49,141.52,142.78,4667978
22-Feb-17,142.92,144.00,142.17,143.86,3481968
21-Feb-17,142.99,143.38,141.81,142.60,3571481
17-Feb-17,141.75,142.90,141.27,142.22,4588073
16-Feb-17,142.42,142.44,141.07,142.01,2847496
15-Feb-17,140.72,142.43,140.51,142.27,5309050
14-Feb-17,143.20,144.11,140.05,140.82,8367786
13-Feb-17,145.19,145.95,143.05,143.20,4790435
10-Feb-17,144.68,145.30,143.97,144.82,6171936
9-Feb-17,144.98,145.09,143.58,144.14,4555119
8-Feb-17,143.57,145.07,142.56,144.74,6887050
7-Feb-17,141.49,144.28,141.05,144.00,8573515
6-Feb-17,140.00,141.00,139.16,140.97,3552066
3-Feb-17,139.51,140.64,139.10,140.25,3512568
2-Feb-17,140.61,141.04,139.05,139.20,3462370
1-Feb-17,141.20,142.41,139.30,140.78,6033422
31-Jan-17,140.55,141.83,139.70,140.71,4411631
30-Jan-17,141.77,141.97,138.80,141.22,8122481
27-Jan-17,139.46,142.49,139.00,142.45,8323866
26-Jan-17,140.45,141.21,138.51,138.96,6038313
25-Jan-17,140.80,141.39,139.05,139.52,7612888
24-Jan-17,138.11,140.93,137.03,140.11,7754673
23-Jan-17,138.65,139.49,137.31,137.39,7433896
20-Jan-17,139.36,140.79,137.66,138.60,9497394
19-Jan-17,142.01,143.46,138.25,138.41,23203441
18-Jan-17,133.21,133.65,131.06,133.26,16168617
17-Jan-17,135.04,135.40,132.09,132.89,12220202
13-Jan-17,131.15,133.93,130.58,133.70,10515015
12-Jan-17,130.63,130.85,128.50,129.18,5388880
11-Jan-17,130.91,131.50,129.25,130.50,5615061
10-Jan-17,131.27,132.22,129.29,129.89,5985809
9-Jan-17,131.48,131.99,129.89,130.95,5771835
6-Jan-17,132.08,133.88,129.81,131.07,10657878
5-Jan-17,129.22,132.75,128.90,131.81,10185516
4-Jan-17,127.49,130.17,126.55,129.41,7843559
3-Jan-17,124.96,128.19,124.31,127.49,9437856
30-Dec-16,126.24,126.57,123.60,123.80,4455351
29-Dec-16,125.95,126.14,124.20,125.33,3445056
28-Dec-16,129.07,129.07,125.76,125.89,4389162
27-Dec-16,126.24,129.05,125.70,128.35,5288164
23-Dec-16,125.61,126.28,125.08,125.59,2010382
22-Dec-16,126.84,127.50,125.18,125.58,4161410
21-Dec-16,125.53,127.74,125.00,126.50,6514793
20-Dec-16,125.46,126.30,124.64,125.12,3937812
19-Dec-16,124.30,126.44,122.87,125.45,4867276
16-Dec-16,126.39,126.68,124.01,124.22,7867975
15-Dec-16,123.44,127.43,122.95,125.00,7376184
14-Dec-16,123.43,124.40,122.50,123.44,6110273
13-Dec-16,123.51,125.09,122.78,123.78,5564509
12-Dec-16,122.84,124.03,122.30,122.83,3917605
9-Dec-16,123.78,124.30,121.73,122.88,4700783
8-Dec-16,125.40,126.35,122.16,123.24,8987712
7-Dec-16,124.48,125.75,123.25,125.39,8204687
6-Dec-16,120.10,124.79,119.42,124.57,11513209
5-Dec-16,120.73,120.75,118.40,119.16,7626283
2-Dec-16,116.75,120.98,116.75,120.81,8953590
1-Dec-16,117.52,118.68,113.95,117.22,8636943
30-Nov-16,119.00,120.37,116.39,117.00,7715103
